date;number;value;target;group
01.01.2020;1;3,108266118;12,74780383;1
02.01.2020;2;3,07424866;12,50428892;1
03.01.2020;3;2,383530311;8,029174103;1
04.01.2020;4;-1,41590752;0,638434641;0
05.01.2020;5;-2,715844353;4,631055245;0
06.01.2020;6;1,005607464;2,057702694;1
07.01.2020;7;3,107697014;12,79415158;1
08.01.2020;8;3,01041526;12,0634152;1
09.01.2020;9;2,896672164;11,3159798;1
10.01.2020;10;-0,223981271;-0,139900609;1
11.01.2020;11;-2,999931446;6,003315098;0
12.01.2020;12;-0,185539747;-0,198827862;1
13.01.2020;13;2,907420433;11,36126435;1
14.01.2020;14;3,009216201;12,06922934;1
15.01.2020;15;3,10511497;12,78211562;1
16.01.2020;16;0,970513411;1,910578853;1
17.01.2020;17;-2,73276275;4,766907071;0
18.01.2020;18;-1,38092543;0,575476061;0
19.01.2020;19;2,404705273;8,22705862;1
20.01.2020;20;3,071897691;12,47933135;1
21.01.2020;21;3,109981601;12,79072837;1
22.01.2020;22;1,973289381;5,818129343;1
23.01.2020;23;-1,970839157;1,923902734;0
24.01.2020;24;-2,356879425;3,246700246;0
25.01.2020;25;1,567910778;4,038236753;1
26.01.2020;26;3,124684571;12,9079555;1
27.01.2020;27;3,039817952;12,29990386;1
28.01.2020;28;2,665937473;9,738243491;1
29.01.2020;29;-0,871721517;-0,116294308;1
30.01.2020;30;-2,916507853;5,561673546;0
31.01.2020;31;0,461394226;0,676042953;1
01.02.2020;32;3,046137274;12,28474427;1
02.02.2020;33;3,000088124;12,01869643;1
03.02.2020;34;3,027391081;12,18996452;1
04.02.2020;35;0,348771195;0,460137862;1
05.02.2020;36;-2,942587149;5,758582678;0
06.02.2020;37;-0,758897058;-0,161345554;1
07.02.2020;38;2,713437067;10,04036636;1
08.02.2020;39;3,033583066;12,19942709;1
09.02.2020;40;3,124952238;12,87281496;1
10.02.2020;41;1,473809691;3,598477237;1
11.02.2020;42;-2,429588139;3,446112562;0
12.02.2020;43;-1,879022673;1,636901511;0
13.02.2020;44;2,052479059;6,221320257;1
14.02.2020;45;3,104636957;12,70262396;1
15.02.2020;46;3,078920595;12,54509908;1
16.02.2020;47;2,340178735;7,787295615;1
17.02.2020;48;-1,485194433;0,688773286;0
18.02.2020;49;-2,680546204;4,545537324;0
19.02.2020;50;1,075194311;2,215587404;1
20.02.2020;51;3,112273231;12,78811981;1
21.02.2020;52;3,013014765;12,08977379;1
22.02.2020;53;2,874262001;11,10497998;1
23.02.2020;54;-0,300857549;-0,189092745;1
24.02.2020;55;-2,998286333;5,959265472;0
25.02.2020;56;-0,108683902;-0,113094218;1
26.02.2020;57;2,928014878;11,49316327;1
27.02.2020;58;3,007025754;12,04715574;1
28.02.2020;59;3,099343442;12,70085724;1
29.02.2020;60;0,899749107;1,732109782;1
